ID,X-COORD,Y-COORD,NAME
Loc_0569386944,-2.9006312,42.9515469,
Loc_0569473498,-2.5109577,42.5203417,
Loc_0569478271,-3.0596966,43.08853,
Loc_0569598336,-2.6204429,42.8272808,
Loc_0569627286,-2.7511034,42.7327258,
Loc_0471067631,-2.8989417,42.9650743,
Loc_0471070521,-2.3998961,42.6947389,
Loc_0471096373,-2.9999865,43.0549142,
Loc_0471131871,-2.3622409,42.7434539,
Loc_0471248207,-2.6322779,42.8309045,
Loc_0472055322,-3.0689668,42.8368147,
Loc_01966544552,-2.4982252385162793,42.627528492727706,
Loc_1647318014,-2.769040621482047,42.77077889055533,
Loc_1647318015,-2.68535742611126,42.83313941238587,
Loc_493317243,-2.747474437305947,42.734086838865146,
Loc_081183108,-2.5129869,42.8414557,
Loc_01902150498,-2.510786594507506,42.56265035870981,
Loc_0936489762,-3.043600552767855,43.07727799628616,
Loc_926369781,-2.4447,42.51399,
Loc_926369783,-2.4792494076924885,42.500692982601365,
Loc_1647318010,-2.6246391647453393,42.87953991523873,
Loc_01773904400,-2.9013236201645345,42.70473608416659,
Loc_0159340163,-2.6165681145809576,42.51450463178774,
Loc_1647318006,-2.6294906909869393,42.8538373509358,
Loc_1647318008,-2.5647472599070213,42.867336405741746,
Loc_01773904399,-2.8967700408207535,42.68456310541189,
Loc_1647318007,-2.714814953355438,42.85668390634371,
Loc_1647317983,-2.6356214135473186,42.82917611862228,
Loc_1647317984,-2.6541509,42.8190469,
Loc_1615667199,-2.8866407,42.8706486,
Loc_1647317981,-2.65170165073046,42.92425628673932,
Loc_1647317982,-2.7432706,42.77848,
Loc_01267552008,-2.9858189469322562,42.801507272586555,
Loc_0968686789,-2.9996019696059206,43.05465695708279,
Loc_1353544996,-2.8297471855413736,42.766883634496445,
Loc_553415382,-2.729749442556455,42.96235178727803,
Loc_745875947,-2.69118073733242,42.85612411344174,
Loc_0774547150,-2.962187175666512,43.14385724396039,
Loc_745875945,-2.7438578,42.902652,
Loc_745875946,-2.758492869891307,42.82984103253704,
Loc_745875951,-2.593094795695707,42.88608588255094,
Loc_02122858662,-2.644882799277019,42.97962310747273,
Loc_571849408,-2.8186644028030203,42.95620939484912,
Loc_745875949,-2.587363161435918,42.7665096200304,
Loc_1647317978,-2.613606595121172,42.80971696819471,
Loc_745875950,-2.671507644693986,42.85501844603166,
Loc_1427156062,-2.9013935490682496,42.95400221081255,
Loc_0205300191,-2.3862061770229084,42.84714566995256,
Loc_1440919063,-2.352328538953503,42.67065994441113,
Loc_745875953,-2.6187679555402945,42.86653385008834,
Loc_539652381,-3.098894568282211,42.847963191368706,
Loc_02084999229,-3.005351775184369,42.995998282762756,
Loc_0347851300,-2.3321143,42.7540269,
Loc_650006463,-2.9954186,43.1684497,
Loc_01014646817,-2.5828303694782724,42.5524857031875,
Loc_01125000899,-2.7121696572768457,42.6441217689531,
Loc_1408722036,-2.3151586,42.8894415,
